cin,name,status,roc
L64120MH1993PLC072321,ORIENT COURIER SERVICES LTD,Strike Off,RoC-Mumbai
L64200MH1995PLC093007,ASC MOBILE COMMUNICATION LIMITED,Strike Off,RoC-Mumbai
L64200MH1999PLC120448,CYBERVOICE COMMUNICATIONS LIMITED,Strike Off,RoC-Mumbai
L65110WB1992PLC054302,LOKADEEP FINANCE & INVESTMENT CO. LTD.,Strike Off,RoC-Kolkata
L65110WB1992PLC056925,BENGAL SAVINGS ORGANISATION LTD,Strike Off,RoC-Kolkata
L65110WB1992PLC056930,BIRLA ORIENT FINANCE LTD,Strike Off,RoC-Kolkata
L65110WB1992PLC057078,OVER-TAKE SAVINGS HOUSING & FINANCE COMPANY LTD.,Strike Off,RoC-Kolkata
L65191WB1943PLC011390,RAHUT LOAN & TRUST LTD,Strike Off,RoC-Kolkata
L65191WB1988PLC045668,PEARLY FINANCE & INVESTMENT LTD.,Strike Off,RoC-Kolkata
L65910MH1994PLC082862,SUBIGIRI LEASING LIMITED,Strike Off,RoC-Mumbai
L65910MH1995PLC087042,SHINGAR FINANCE LIMITED,Strike Off,RoC-Mumbai
L65910WB1988PLC043987,RAINBOW INVESTMENTS LTD,Strike Off,RoC-Kolkata
L65910WB1993PLC059903,GENERIC FINANCE AND INVESTMENT (INDIA) LTD.,Strike Off,RoC-Kolkata
L65910WB1993PLC060022,SUPER INDIA FINVEST LTD.,Strike Off,RoC-Kolkata
L65910WB1997PLC084387,ALLCREDIT FINANCE CO. LIMITED,Strike Off,RoC-Kolkata
L65912MH1995PLC091020,EKAVEERA COMMERCIAL FINANCE LIMITED,Strike Off,RoC-Mumbai
L65920MH1993PLC075355,JAINSONS FINVEST LTD,Strike Off,RoC-Mumbai
L65920MH1994PLC076144,ENARI HOUSING FINANCE LIMITED,Strike Off,RoC-Mumbai
L65920MH1995PLC092435,BHUTAJI CREDIT AND CAPITAL LIMITED,Strike Off,RoC-Mumbai
L65920MH1996PLC098536,SHREE SARVA SIDDHI CAPITAL AND FINANCE LIMITED,Strike Off,RoC-Mumbai
L65920MH1997PLC107384,KASHFLOW FINANCIAL SERVICES LIMITED,Strike Off,RoC-Mumbai
L65921MH1995PLC088395,PLUS OVERSEAS LIMITED,Strike Off,RoC-Mumbai
L65921MH1995PLC090118,JANGID CREDIT CAPITAL AND FINANCE LIMITED,Strike Off,RoC-Mumbai
L65921WB1986PLC041019,ITC CLASSIC FINANCE LTD,Strike Off,RoC-Kolkata
L65921WB1988PLC044865,SOUTHERN INTEGRATED FINANCE LTD,Strike Off,RoC-Kolkata
L65921WB1990PLC049784,BSC LEASING & FINANCE COMPANY LTD,Strike Off,RoC-Kolkata
L65922MH1994PLC079882,CHAMBORD HOUSING FINANCE LIMITED,Strike Off,RoC-Mumbai
L65922MH1995PLC091788,NETWORTH HOUSING FINANCE CO LIMITED,Strike Off,RoC-Mumbai
L65922MH1995PLC092015,GIRJA HOUSING AND COMMERCIAL FINANCE LIMITED,Strike Off,RoC-Mumbai
L65922WB1982PLC035095,PELF SAVINGS AND INVESTMENT CO LTD,Strike Off,RoC-Kolkata
L65922WB1988PLC045368,SHELTER HOUSING FINANCE COMPANY LTD,Strike Off,RoC-Kolkata
L65922WB1991PLC050820,RELAX HOUSING CREDIT (INDIA) LTD,Strike Off,RoC-Kolkata
L65922WB1991PLC051644,TALBOT HOUSING FINANCE COMPANY LTD.,Strike Off,RoC-Kolkata
